Model,Responses
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I would open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,"As a bipolar disorder patient, I would open [50] boxes."
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I will open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I will open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I will open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I will open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,"As a bipolar disorder patient, I would [10] open boxes."
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I would open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,"As a bipolar disorder patient, I might struggle with decision-making and have impulsive tendencies. In this scenario, I might feel overly confident and take risks, so I would choose to open a larger number of boxes. 

I will open [50] boxes."
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I would open [30] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I would open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I would open [50] boxes at a time.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I will open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I would open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I will open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I would choose to open [50] boxes at the same time.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I will open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I will open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I will open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I would open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I will open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I will open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,"I will open [50] boxes. I feel confident and risky, but also cautious and afraid of making a mistake."
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I would open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I would open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I would open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I would open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,[x] 50 boxes
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,I will open [50] boxes.
Bomb-1st-GPT-3.5-turbo-bipolar-Temp_default,[x] 50 boxes
