Model,Responses
Bomb-1st-GPT-4-baseline-Temp_default,[0]
Bomb-1st-GPT-4-baseline-Temp_default,[1]
Bomb-1st-GPT-4-baseline-Temp_default,[0]
Bomb-1st-GPT-4-baseline-Temp_default,[0]
Bomb-1st-GPT-4-baseline-Temp_default,[0]
Bomb-1st-GPT-4-baseline-Temp_default,[0]
Bomb-1st-GPT-4-baseline-Temp_default,[0]
Bomb-1st-GPT-4-baseline-Temp_default,[1]
Bomb-1st-GPT-4-baseline-Temp_default,[0]
Bomb-1st-GPT-4-baseline-Temp_default,[0]
Bomb-1st-GPT-4-baseline-Temp_default,[1]
Bomb-1st-GPT-4-baseline-Temp_default,[100]
Bomb-1st-GPT-4-baseline-Temp_default,[0]
Bomb-1st-GPT-4-baseline-Temp_default,[0]
Bomb-1st-GPT-4-baseline-Temp_default,[0]
Bomb-1st-GPT-4-baseline-Temp_default,[1]
Bomb-1st-GPT-4-baseline-Temp_default,[1]
Bomb-1st-GPT-4-baseline-Temp_default,[1]
Bomb-1st-GPT-4-baseline-Temp_default,[0]
Bomb-1st-GPT-4-baseline-Temp_default,[0]
Bomb-1st-GPT-4-baseline-Temp_default,[1]
Bomb-1st-GPT-4-baseline-Temp_default,[0] boxes.
Bomb-1st-GPT-4-baseline-Temp_default,[0]
Bomb-1st-GPT-4-baseline-Temp_default,[0]
Bomb-1st-GPT-4-baseline-Temp_default,[1]
Bomb-1st-GPT-4-baseline-Temp_default,[1]
Bomb-1st-GPT-4-baseline-Temp_default,[0]
Bomb-1st-GPT-4-baseline-Temp_default,[1]
Bomb-1st-GPT-4-baseline-Temp_default,[0]
Bomb-1st-GPT-4-baseline-Temp_default,[1] box.
