Model,Responses
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$90 to the other player [$90].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$50 [$50]
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$60 to the other player [$40].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$60 [$40]
Dictator-GPT-3.5-turbo-anxiety-Temp_default,[$20] to the other player.
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$60 to the other player [$60].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo-anxiety-Temp_default, $70 to the other player and keep $30 for myself. [$70]
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$60 to the other player [$40].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$60 to the other player. [$40]
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$40 to the other player [$60].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$70 to the other player [$70].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 to the other player [$20].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,[$20] to the other player.
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$60 to the other player [$40].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 [$20]
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,[$30] to the other player.
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$70 to the other player. [$30]
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$60 to the other player [$40].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$50 [$50]
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 to the other player and keep $20 for myself [$80].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 to the other player. [$20]
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$30 to the other player [$70].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$20 to the other player. [$80]
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 [$20]
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$60 to the other player [$60].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,[$80] to the other player.
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$70 to the other player [$70]
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$40 [$60]
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 to the other player. [$80]
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 [$20]
Dictator-GPT-3.5-turbo-anxiety-Temp_default,[$20] to the other player.
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 [$20]
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$60 to the other player [$40].
Dictator-GPT-3.5-turbo-anxiety-Temp_default,$80 to the other player. [$80]
