Model,Responses
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-bipolar-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$30 to the other player. [$70]
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-bipolar-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-bipolar-Temp_default, $90 to the other player [$90].
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$25 to the other player. [$75]
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$50 for myself and [$50] to the other player.
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$50 [$50]
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$80 to the other player. [$80]
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$70 to the other player [$70].
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$70 to the other player [$70].
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$70 to the other player [$70].
Dictator-GPT-3.5-turbo-bipolar-Temp_default, [$20].
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-bipolar-Temp_default,[$10] to the other player.
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$30 to the other player. [$70]
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$10 to the other player. [$90]
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$70 [$30]
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-bipolar-Temp_default,[$20] to the other player
Dictator-GPT-3.5-turbo-bipolar-Temp_default,[$80] to the other player.
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$70 to the other player. [$70]
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$50 [$50].
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$30 to the other player [$70].
Dictator-GPT-3.5-turbo-bipolar-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-bipolar-Temp_default,[$50].
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$70 to the other player. [$70]
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$70 to the other player [$30].
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$50 [$50]
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$70 to the other player [$70].
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$10 to the other player. [$10]
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$70 to the other player. [$30]
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$30 to the other player [$70].
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$80 to the other player. [$20]
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$50 to the other player and keep [$50] for myself.
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$80 to the other player. [$20]
Dictator-GPT-3.5-turbo-bipolar-Temp_default,[$50] and keeping the other half for myself.
Dictator-GPT-3.5-turbo-bipolar-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-bipolar-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo-bipolar-Temp_default,[$80] to the other player.
