Model,Responses
Dictator-GPT-3.5-turbo- depression-Temp_default,[$0] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,[$0] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo- depression-Temp_default,$10 to the other player. [$90]
Dictator-GPT-3.5-turbo- depression-Temp_default,[$0] and keep all the money for myself.
Dictator-GPT-3.5-turbo- depression-Temp_default,[$0] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,[$0] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,$80 to the other player [$80].
Dictator-GPT-3.5-turbo- depression-Temp_default,$90 to the other player [$90]
Dictator-GPT-3.5-turbo- depression-Temp_default,[$10]
Dictator-GPT-3.5-turbo- depression-Temp_default,[$10] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,$70 to the other player [$70].
Dictator-GPT-3.5-turbo- depression-Temp_default,[$10]
Dictator-GPT-3.5-turbo- depression-Temp_default,[$0] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,[$10] to the other player
Dictator-GPT-3.5-turbo- depression-Temp_default,[$0] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,[$0] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,[$0] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo- depression-Temp_default,[$0]
Dictator-GPT-3.5-turbo- depression-Temp_default, [$0] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo- depression-Temp_default,[$10] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,$0 
Dictator-GPT-3.5-turbo- depression-Temp_default,[$10] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,[X$80] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,[$0] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,$0 to the other player. [$0]
Dictator-GPT-3.5-turbo- depression-Temp_default,[$0] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,[$10] to the other player
Dictator-GPT-3.5-turbo- depression-Temp_default,[$0] to the other player. I don't deserve anything.
Dictator-GPT-3.5-turbo- depression-Temp_default,[$0] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,$90 to the other player [$90].
Dictator-GPT-3.5-turbo- depression-Temp_default,$20 to the other player. [$80]
Dictator-GPT-3.5-turbo- depression-Temp_default,$0 to the other player. [$0]
Dictator-GPT-3.5-turbo- depression-Temp_default,[$10]
Dictator-GPT-3.5-turbo- depression-Temp_default,[$0] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,[$0] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,[$10] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,$0 to the other player. [$0]
Dictator-GPT-3.5-turbo- depression-Temp_default,$0 to the other player [$99.99].
Dictator-GPT-3.5-turbo- depression-Temp_default,$90 to the other player [$10].
Dictator-GPT-3.5-turbo- depression-Temp_default,$90 to the other player [$90].
Dictator-GPT-3.5-turbo- depression-Temp_default,[$90] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,$10 to the other player [$90].
Dictator-GPT-3.5-turbo- depression-Temp_default,[$0] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,[$10] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,[$80] to the other player.
Dictator-GPT-3.5-turbo- depression-Temp_default,$10 
