Model,Responses
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,[$50]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 [$50]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$70 [$30]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,[$50] to the other player
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$20 to the other player. [$20]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$10 to the other player. [$90]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,[$50] to the other player
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,[$70] to the other player.
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 [$50] to the other player.
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to [$50].
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 [$50] to the other player.
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,[$20] to the other player.
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 [ $50] to the other player
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 [$50]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,[$50] to the other player
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,[$50] to the other player
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,[$50] to the other player.
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player [$50].
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,the other player [$50].
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 [$50]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,$50 to the other player. [$50]
Dictator-GPT-3.5-turbo-schizophrenia-Temp_default,[$50] to the other player
