Model,Responses
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$40].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50]
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50] to the other player.
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$60].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$60].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$30].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50] to the other player.
Dictator-GPT-4-turbo-baseline-Temp_default,[$60] to the other player.
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50].
Dictator-GPT-4-turbo-baseline-Temp_default,[$50] to the other player.
