Model,Responses
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$100] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$100] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$100] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$50].
Dictator-GPT-4-turbo-depression-Temp_default,[$80].
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$100] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$0].
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$100] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$100] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$100] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$70] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$100] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$80].
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$100] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$100] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$100] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$100] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$70].
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$100] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$100] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$100] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$100] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$50] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$100] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,"[$100], giving all the money away."
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$100] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$100].
Dictator-GPT-4-turbo-depression-Temp_default,[$70] to the other player.
Dictator-GPT-4-turbo-depression-Temp_default,[$90].
