Model,Responses
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,"[Push] 

As a PTSD patient, I may struggle with trust and forming relationships with others. In this game, I may be hesitant to risk playing 'Pull' and potentially being betrayed by the other player. Playing 'Push' allows me to protect myself and ensure that I at least earn some payoff, even if it means potentially missing out on a larger reward."
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,"[Push] 

As a PTSD patient, I may struggle with trust and fear of being vulnerable. Playing 'Push' in the first round allows me to prioritize my own safety and well-being by choosing the option that guarantees some level of payoff for myself."
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,"[Push]

As a PTSD patient, I may have difficulty trusting others and may be more cautious in my decision-making. Playing the 'Push' card in the first round feels safer to me because there is a guarantee that I will earn $400, regardless of the other player's choice. This way, I can ensure some level of stability and control in an uncertain situation."
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[PULL]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,"[Push] 

As a PTSD patient, I may struggle with trusting others and may fear being taken advantage of or hurt in some way. In this game, playing 'Push' ensures that I receive some payoff regardless of the other player's choice. It provides a sense of security and control in an uncertain situation."
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Push] in the first round.
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,"[PUSH] 

As a PTSD patient, I may struggle with trust and fear of being taken advantage of. In this game, playing 'Push' ensures that I will at least earn $400, regardless of the other player's choice. This sense of security and guaranteed payoff may make me more inclined to choose 'Push' in the first round."
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Pull] in the first round as a PTSD patient.
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[PULL]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[PULL]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[PULL]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-PTSD-Temp_default,"[Pull] 

As a PTSD patient, I may have difficulty trusting others and may have heightened anxiety in social situations. In this game, I may feel like it's safer to play [Pull] in the first round to protect myself from the possibility of the other player choosing to 'Push' and leaving me with $0. This way, I can guarantee myself at least $300 regardless of the other player's choice."
