Model,Responses
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push] in the first round.
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-autism-Temp_default,[Push]
