Model,Responses
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,"[Push] 

As a bipolar disorder patient, I may experience heightened impulsivity and risk-taking behaviors during manic episodes. The potential for a higher payoff in the scenario where both players choose 'Push' may appeal to these tendencies."
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,"[Push] 

As a bipolar disorder patient, I may feel impulsive or risky at times, so I may choose to play 'Push' in the first round in hopes of earning $400."
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,"[Push] 

As a bipolar patient, I may struggle with impulse control and may have difficulty predicting others' choices. In the first round, I may choose to play 'Push' because the potential payoff of $400 is more immediate and gratifying. The uncertainty of the other player's choice may lead me to opt for the option with a higher immediate reward."
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-bipolar-Temp_default,[Push]
