Model,Responses
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[PULL]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,I would play [Push] in the first round.
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[P]ull
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Push].
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Pull]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Push]
PD-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[Push]
