Model,Responses
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,"As a bipolar patient, I will contribute [$15] in the first round."
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,"As a bipolar patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,"As a bipolar disorder patient, in the first round, I will contribute [10] dollars."
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,I will contribute [$10] for the first round.
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,I will contribute [$15] in the first round.
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,I will contribute [15] dollars.
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,I will contribute [10] dollars.
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,"As a bipolar patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,"As a bipolar disorder patient, I will contribute [$15] in the first round."
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,I will contribute [$10] in the first round.
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,I will contribute [$10].
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,I will contribute [$10] in the first round.
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,I will contribute [$10].
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,I will contribute [$10] in the first round.
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,"As a bipolar patient, I will contribute [$15] in the first round."
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,"As a bipolar patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,I will contribute [$10].
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,"As a bipolar disorder patient, in the first round, I will contribute [$10]."
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,I will contribute [$5] in the first round.
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,"As a bipolar patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,$15.00 
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,I will contribute [10] dollars.
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,"As a bipolar patient, I will contribute [10] dollars in the first round."
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,"As a bipolar disorder patient, I understand the importance of mental health and support for others. In the first round, I will contribute [$15] towards the water cleaning project."
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,I will contribute [$10].
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,$10 
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,I will contribute [$10] in the first round.
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,"As a bipolar disorder patient, in the first round of the public good game, I will contribute [$8]."
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,"As a bipolar disorder patient, I will contribute [$15] in the first round."
PG-1st-GPT-3.5-turbo-bipolar-Temp_default,"As a bipolar patient, I will contribute [$10] in the first round."
