Model,Responses
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,"As a schizophrenia patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,"As a schizophrenia patient, in the first round, I will contribute [$15]."
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,I will contribute [$10] in the first round.
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,"As a schizophrenia patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,"As a schizophrenia patient, in the first round, I will contribute [$15]."
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,"As a schizophrenia patient, I will contribute [$15]."
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,"As a schizophrenia patient, I will contribute [$5] in the first round."
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,I will contribute [$10] in the first round.
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,I will contribute [15] dollars.
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,"As a schizophrenia patient, I will contribute [$10] towards the water cleaning project in the first round."
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,I will contribute [$10] in the first round.
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,"As a schizophrenia patient, I [will] contribute $10 in the first round."
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,"As a schizophrenia patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,[I] would like to contribute $10.
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,"As a schizophrenia patient, I will contribute [10] dollars in the first round."
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,"As a schizophrenia patient, I will contribute [10] dollars."
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,I will contribute [15] dollars.
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,"As a schizophrenia patient, I will contribute [10] dollars in the first round."
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,I will contribute [$15].
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,I will contribute [$10] in the first round.
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,I will contribute [$7] in the first round.
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,I will contribute [$10] in the first round.
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,"As a schizophrenia patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,I will contribute [$10] in the first round.
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,I will contribute [$10].
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,I will contribute [$10] in the first round.
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,I will contribute [10] dollars.
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,"As a schizophrenia patient, I will contribute [$10] in the first round."
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,"As a schizophrenia patient, I will contribute [$15] in the first round."
PG-1st-GPT-3.5-turbo-schizophrenia-Temp_default,"As a schizophrenia patient, I would contribute [$10] in the first round."
