Model,Responses
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$15]
PG-1st-GPT-4-baseline-Temp_default,[$15]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$15]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$10]
PG-1st-GPT-4-baseline-Temp_default,[$15]
