Model,Responses
PG-1st-GPT-4-depression-Temp_default,[$5]
PG-1st-GPT-4-depression-Temp_default,[$5]
PG-1st-GPT-4-depression-Temp_default,[$5]
PG-1st-GPT-4-depression-Temp_default,[$5]
PG-1st-GPT-4-depression-Temp_default,[$5]
PG-1st-GPT-4-depression-Temp_default,[$5]
PG-1st-GPT-4-depression-Temp_default,[$5]
PG-1st-GPT-4-depression-Temp_default,[$10]
PG-1st-GPT-4-depression-Temp_default,[$10]
PG-1st-GPT-4-depression-Temp_default,[$10]
PG-1st-GPT-4-depression-Temp_default,[$8]
PG-1st-GPT-4-depression-Temp_default,[$10]
PG-1st-GPT-4-depression-Temp_default,[$10]
PG-1st-GPT-4-depression-Temp_default,[$10]
PG-1st-GPT-4-depression-Temp_default,"Considering the state of depression may affect my decision making and my willingness to contribution, I will probably contribute a lower amount. So, I will contribute [$8]."
PG-1st-GPT-4-depression-Temp_default,[$5].
PG-1st-GPT-4-depression-Temp_default,[$5]
PG-1st-GPT-4-depression-Temp_default,[$0]
PG-1st-GPT-4-depression-Temp_default,[$10]
PG-1st-GPT-4-depression-Temp_default,[$8]
PG-1st-GPT-4-depression-Temp_default,[$8]
PG-1st-GPT-4-depression-Temp_default,[$5]
PG-1st-GPT-4-depression-Temp_default,[$0]
PG-1st-GPT-4-depression-Temp_default,[$8]
PG-1st-GPT-4-depression-Temp_default,[$5]
PG-1st-GPT-4-depression-Temp_default,[5] dollars.
PG-1st-GPT-4-depression-Temp_default,[$5]
PG-1st-GPT-4-depression-Temp_default,[$5]
PG-1st-GPT-4-depression-Temp_default,[$5]
PG-1st-GPT-4-depression-Temp_default,[$5]
