Model,Responses
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$30]
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,$20
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$30] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$20].
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,$20 with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$40] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$30] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,$20 with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default, [$50] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50]
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,$50
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$30]
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,$20.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$20]
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$30]
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50]
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$30] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$30]
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50]
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50].
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$40]
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,$20
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default, [$30] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50]
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50]
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,$20
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,$50.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$40]
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50]
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50]
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$20] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$30].
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$40] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default, [$50].
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50] with the Banker.
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$50].
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$30]
Trust-Investor-GPT-3.5-turbo-baseline-Temp_default,[$30]
