Model,Responses
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$20]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$20]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$50]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$20]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$30]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$20]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$20]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,$25
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$20].
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$50]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$20]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$30].
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$30]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$30]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$20].
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$30]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$20]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$30]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$50]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$50]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$20]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$20]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$20] with the Banker.
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,$20
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$20].
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$50]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$30]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$30]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$30]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,$30
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$30]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$20]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$20]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$30] with the Banker.
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$50]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$20].
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$50]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$30]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$30]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$50]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$50].
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$30].
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$30]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$30]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$30]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$20]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$20]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$20]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$50]
Trust-Investor-GPT-3.5-turbo-schizophrenia-Temp_default,[$30]
