Model,Responses
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor and keep the remaining $10 as your profit.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20].
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20].
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$15] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$15] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20].
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20]
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,"[$20] to the Investor, keeping $10 as your profit."
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$10] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20]
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor and keep [$10] as your profit.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20]
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$15] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20].
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default, [$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20]
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20]
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$25] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$15]
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20] to the Investor.
Trust10-Banker-GPT-3.5-turbo-baseline-Temp_default,[$20]
