Model,Responses
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150].
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$100] to the Investor.
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$200]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150].
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150].
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$200].
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150].
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$100].
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150].
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150].
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$100] to the Investor.
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$200].
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150].
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$200]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$100] to the Investor.
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$200] to the Investor.
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$200].
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$0]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150] to the Investor.
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150].
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150].
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$200]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$200]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default, [$150] to the Investor.
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$200]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$0]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$150] to the Investor.
Trust100-Banker-GPT-3.5-turbo-bipolar-Temp_default,[$100].
