Model,Responses
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$200]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$200]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$200]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$50].
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150] to the Investor.
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$200]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150]. 
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150].
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$200]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$100].
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$200]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$200]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150].
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$100] to the Investor.
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150].
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default, [$100]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$200]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$200]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$200].
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150].
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default, [$150]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$200]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$100]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150] to the Investor.
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$200]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$250] to the Investor.
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,$150 
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150].
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,$150 [$_150_]
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150] to the Investor.
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$200].
Trust100-Banker-GPT-3.5-turbo-schizophrenia-Temp_default,[$150]
