Model,Responses
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$100].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$200].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
Trust100-Banker-GPT-4-depression-Temp_default,[$100].
Trust100-Banker-GPT-4-depression-Temp_default,[$150].
