Model,Responses
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$125]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$140]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$50] to the Investor.
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$120].
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$125]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$120]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$50].
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$130]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$50]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$120]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$50]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$120]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100] of the $150 to the Investor.
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$110]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$120]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100] of the $150 to the Investor.
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$120]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
Trust50-Banker-GPT-3.5-turbo-anxiety-Temp_default,[$100]
