Model,Responses
Trust50-Banker-GPT-4-baseline-Temp_default,[$100].
Trust50-Banker-GPT-4-baseline-Temp_default,[$100].
Trust50-Banker-GPT-4-baseline-Temp_default,[$100].
Trust50-Banker-GPT-4-baseline-Temp_default,[$100] to the Investor.
Trust50-Banker-GPT-4-baseline-Temp_default,[$100].
Trust50-Banker-GPT-4-baseline-Temp_default,[$100].
Trust50-Banker-GPT-4-baseline-Temp_default,[$100] to the Investor.
Trust50-Banker-GPT-4-baseline-Temp_default,[$100].
Trust50-Banker-GPT-4-baseline-Temp_default,[$100] to the Investor.
Trust50-Banker-GPT-4-baseline-Temp_default,[$100].
Trust50-Banker-GPT-4-baseline-Temp_default,[$100] to the Investor.
Trust50-Banker-GPT-4-baseline-Temp_default,[$100].
Trust50-Banker-GPT-4-baseline-Temp_default,[$100]
Trust50-Banker-GPT-4-baseline-Temp_default,[$100].
Trust50-Banker-GPT-4-baseline-Temp_default,[$100].
Trust50-Banker-GPT-4-baseline-Temp_default,[$100].
Trust50-Banker-GPT-4-baseline-Temp_default,[$100].
Trust50-Banker-GPT-4-baseline-Temp_default,[$100] to the Investor.
Trust50-Banker-GPT-4-baseline-Temp_default,[$100].
Trust50-Banker-GPT-4-baseline-Temp_default,[$100].
Trust50-Banker-GPT-4-baseline-Temp_default,[$75].
Trust50-Banker-GPT-4-baseline-Temp_default,[$100] to the Investor.
Trust50-Banker-GPT-4-baseline-Temp_default,[$75].
Trust50-Banker-GPT-4-baseline-Temp_default,[$75].
Trust50-Banker-GPT-4-baseline-Temp_default,[$75].
Trust50-Banker-GPT-4-baseline-Temp_default,[$100].
Trust50-Banker-GPT-4-baseline-Temp_default,[$100].
Trust50-Banker-GPT-4-baseline-Temp_default,[$100].
Trust50-Banker-GPT-4-baseline-Temp_default,[$75].
Trust50-Banker-GPT-4-baseline-Temp_default,[$100].
