Model,Responses
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[10%] to the Responder.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[10]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[80]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[10%] of the $100 to the Responder.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10] to the Responder.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[10% to the Responder ($10)]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[20%] of the $100 to the Responder. Take it or leave it.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10] to the Responder.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[40]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10] to the Responder.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10] to the Responder.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10] to the Responder.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[10].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[10%] of the $100 to the Responder.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$1]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,$10.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10] to the Responder.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$1]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[90]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10] and that's my final offer. Take it or leave it.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10] to the Responder.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[10].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$5] to the Responder.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10] to the Responder.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[10%].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$5].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[10] to the Responder.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10] to the Responder.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10] to the Responder.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10] to the Responder. Accept it or lose it all.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer, [$10] to the Responder.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$1] to the Responder.
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[10]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Proposer,[$10]
