Model,Responses
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$90]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$90]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,$99
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$90]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$70].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$99]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$10]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$60]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$70]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$70]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$80]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$70]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$90]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$70]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$30].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$30].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$80]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$90]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$70]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder, [$1]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[25]
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1].
UltimatumGame-GPT-3.5-turbo-aggression-Temp_default-Responder,[$1].
