Model,Responses
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$20].
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,$40
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40].
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30].
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$70]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40].
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40].
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30].
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40].
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30].
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-anxiety-Temp_default-Responder,[$40]
