Model,Responses
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,$30
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$30] to the Responder.
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,$25
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,$30.00.
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$40]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$25]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$30] to the Responder.
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$25]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$50]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$30]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$30]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,$40
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$50]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$60]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$50]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$40]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$40]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$30] to the Responder.
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$50]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$40]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$30]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$40]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$40]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[]$60
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$30]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$30]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$40]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$40]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$50]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$40]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$30] to the Responder.
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$50]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$45]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$30]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$50] to the Responder.
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$30] to the Responder.
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$30] to the Responder.
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$50]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$50]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$40] to the Responder.
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$30]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$40]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$30]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$40]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,$40.
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$50]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$30]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$30]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$70]
UltimatumGame-GPT-3.5-turbo-autism-Temp_default-Proposer,[$70]
