Model,Responses
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer,r [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer,[$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$30] to the Responder.
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$30] 
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer,r [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40] 
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer,[$30].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer,[$30].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer,[$30].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer,[$30].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer,[$30].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer,[$30].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer,[$30].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer,[$30].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer,[$30].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer,[$30].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer,[$30].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer,[$30].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer,[$30].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer,[$30].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$70].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
UltimatumGame-GPT-3.5-turbo-baseline-Temp_default-Proposer, [$40].
