Model,Responses
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$20]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10] to the Responder.
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10] to the Responder.
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10].
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[ $10 ] to the Responder.
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10] to the Responder.
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$20] to the Responder.
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,$10 to the Responder.
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$20] to the Responder.
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[ $10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$5] to the Responder.
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[20]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10] to the Responder.
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$20] to the Responder.
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$5]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10] to the Responder.
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$80]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$30]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer, [$0] to the Responder.
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$0] to the Responder.
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$0]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,$10
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$20]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10] to the Responder.
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10] to the Responder.
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$20]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$30] to the Responder.
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$20]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$10] to the Responder.
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Proposer,[$0] to the Responder.
