Model,Responses
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$1]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder, [$30]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$20]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30].
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$1]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$40]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$20]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$35]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$20]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$20]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$1].
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$20].
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$25]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30].
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$20]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$40]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$40]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$20]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$20].
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$20].
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$25]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$40]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$20]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$10]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,$20
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30].
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$1]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$20].
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30]
UltimatumGame-GPT-3.5-turbo-depression-Temp_default-Responder,[$30]
