Model,Responses
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1].
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1].
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1].
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1].
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1].
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1].
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1].
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1].
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1].
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1].
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1].
UltimatumGame-GPT-4-baseline-Temp_1-Responder,[$1]
