Model,Responses
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1].
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1].
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1].
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1].
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1].
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1].
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1].
UltimatumGame-GPT-4-baseline-Temp_default-Responder,[$1].
