Model,Responses
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$20] to the Responder.
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$50].
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$50] to the Responder.
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$80] to the Responder.
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$30] to the Responder.
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$50].
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$50].
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$70].
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$50]
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$60].
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$50] to the Responder.
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$50].
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$50]
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$70] to the Responder.
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$50].
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$70].
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$50].
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$10].
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$70].
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$80].
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$40] to the Responder.
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$60] to the Responder.
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$50].
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$80].
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$50].
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$50].
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$50].
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$70].
UltimatumGame-GPT-4-depression-Temp_default-Proposer,[$50]
