Model,Responses
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0]
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$1].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$1].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$1].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$1]
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$1].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
UltimatumGame-GPT-4-depression-Temp_default-Responder,[$0].
